stazione_id,data,inquinante,valore
6,2019/01/30,CO_8h,1.3
6,2019/01/30,C6H6,3.5
7,2019/01/30,PM10,52
7,2019/01/30,NO2,100
7,2019/01/30,O3,22
8,2019/01/30,NO2,
8,2019/01/30,CO_8h,
8,2019/01/30,C6H6,
1,2019/02/01,NO2,
3,2019/02/01,NO2,67
3,2019/02/01,CO_8h,1.2
4,2019/02/01,PM10,51
4,2019/02/01,NO2,102
4,2019/02/01,CO_8h,1.3
4,2019/02/01,C6H6,3.5
5,2019/02/01,NO2,
5,2019/02/01,O3,
2,2019/02/01,SO2,2.5
2,2019/02/01,PM10,43
2,2019/02/01,PM25,36
2,2019/02/01,NO2,70
2,2019/02/01,O3,8
2,2019/02/01,C6H6,2.8
6,2019/02/01,PM10,51
6,2019/02/01,PM25,41
6,2019/02/01,NO2,67
6,2019/02/01,CO_8h,1.2
6,2019/02/01,C6H6,3.2
7,2019/02/01,PM10,47
7,2019/02/01,NO2,61
7,2019/02/01,O3,8
8,2019/02/01,NO2,
8,2019/02/01,CO_8h,
8,2019/02/01,C6H6,
1,2019/02/04,NO2,
3,2019/02/04,NO2,68
3,2019/02/04,CO_8h,1.5
4,2019/02/04,PM10,36
4,2019/02/04,NO2,108
4,2019/02/04,CO_8h,1.5
4,2019/02/04,C6H6,3.6
5,2019/02/04,NO2,
5,2019/02/04,O3,
2,2019/02/04,SO2,2.5
2,2019/02/04,PM10,29
2,2019/02/04,PM25,26
2,2019/02/04,NO2,62
2,2019/02/04,O3,21
2,2019/02/04,C6H6,2.8
6,2019/02/04,PM10,33
6,2019/02/04,PM25,29
6,2019/02/04,NO2,63
6,2019/02/04,CO_8h,1.4
6,2019/02/04,C6H6,
7,2019/02/04,PM10,31
7,2019/02/04,NO2,61
7,2019/02/04,O3,26
8,2019/02/04,NO2,
8,2019/02/04,CO_8h,
8,2019/02/04,C6H6,
1,2019/02/05,NO2,
3,2019/02/05,NO2,99
3,2019/02/05,CO_8h,1.8
4,2019/02/05,PM10,50
4,2019/02/05,NO2,172
4,2019/02/05,CO_8h,2.3
4,2019/02/05,C6H6,5
5,2019/02/05,NO2,
5,2019/02/05,O3,
2,2019/02/05,SO2,2.5
2,2019/02/05,PM10,30
2,2019/02/05,PM25,27
2,2019/02/05,NO2,91
2,2019/02/05,O3,43
2,2019/02/05,C6H6,3
6,2019/02/05,PM10,38
6,2019/02/05,PM25,30
6,2019/02/05,NO2,104
6,2019/02/05,CO_8h,1.5
6,2019/02/05,C6H6,
7,2019/02/05,PM10,33
7,2019/02/05,NO2,93
7,2019/02/05,O3,39
8,2019/02/05,NO2,
8,2019/02/05,CO_8h,
8,2019/02/05,C6H6,
1,2019/02/06,NO2,
3,2019/02/06,NO2,91
3,2019/02/06,CO_8h,2.2
4,2019/02/06,PM10,67
4,2019/02/06,NO2,141
4,2019/02/06,CO_8h,1.8
4,2019/02/06,C6H6,4.4
5,2019/02/06,NO2,
5,2019/02/06,O3,
2,2019/02/06,SO2,15
2,2019/02/06,PM10,49
2,2019/02/06,PM25,37
2,2019/02/06,NO2,113
2,2019/02/06,O3,25
2,2019/02/06,C6H6,3.9
6,2019/02/06,PM10,54
6,2019/02/06,PM25,36
6,2019/02/06,NO2,107
6,2019/02/06,CO_8h,1.6
6,2019/02/06,C6H6,
7,2019/02/06,PM10,48
7,2019/02/06,NO2,100
7,2019/02/06,O3,21
8,2019/02/06,NO2,
8,2019/02/06,CO_8h,
8,2019/02/06,C6H6,
1,2019/02/07,NO2,
3,2019/02/07,NO2,95
3,2019/02/07,CO_8h,2.1
4,2019/02/07,PM10,100
4,2019/02/07,NO2,181
4,2019/02/07,CO_8h,2.6
4,2019/02/07,C6H6,5.8
5,2019/02/07,NO2,
5,2019/02/07,O3,
2,2019/02/07,SO2,7
2,2019/02/07,PM10,65
2,2019/02/07,PM25,49
2,2019/02/07,NO2,146
2,2019/02/07,O3,21
2,2019/02/07,C6H6,5
6,2019/02/07,PM10,70
6,2019/02/07,PM25,44
6,2019/02/07,NO2,119
6,2019/02/07,CO_8h,2.1
6,2019/02/07,C6H6,
7,2019/02/07,PM10,65
7,2019/02/07,NO2,110
7,2019/02/07,O3,23
8,2019/02/07,NO2,
8,2019/02/07,CO_8h,
8,2019/02/07,C6H6,
1,2019/02/08,NO2,
3,2019/02/08,NO2,91
3,2019/02/08,CO_8h,1.9
4,2019/02/08,PM10,100
4,2019/02/08,NO2,154
4,2019/02/08,CO_8h,2.8
4,2019/02/08,C6H6,6.2
5,2019/02/08,NO2,
5,2019/02/08,O3,
2,2019/02/08,SO2,7
2,2019/02/08,PM10,79
2,2019/02/08,PM25,60
2,2019/02/08,NO2,135
2,2019/02/08,O3,7
2,2019/02/08,C6H6,5.3
6,2019/02/08,PM10,83
6,2019/02/08,PM25,57
6,2019/02/08,NO2,131
6,2019/02/08,CO_8h,2.2
6,2019/02/08,C6H6,
7,2019/02/08,PM10,79
7,2019/02/08,NO2,136
7,2019/02/08,O3,5
8,2019/02/08,NO2,
8,2019/02/08,CO_8h,
8,2019/02/08,C6H6,
1,2019/02/12,NO2,
3,2019/02/12,NO2,74
3,2019/02/12,CO_8h,
4,2019/02/12,PM10,25
4,2019/02/12,NO2,81
4,2019/02/12,CO_8h,1.1
4,2019/02/12,C6H6,1.3
5,2019/02/12,NO2,
5,2019/02/12,O3,
2,2019/02/12,SO2,2.5
2,2019/02/12,PM10,21
2,2019/02/12,PM25,18
2,2019/02/12,NO2,64
2,2019/02/12,O3,72
2,2019/02/12,C6H6,1.1
6,2019/02/12,PM10,28
6,2019/02/12,PM25,21
6,2019/02/12,NO2,74
6,2019/02/12,CO_8h,1.3
6,2019/02/12,C6H6,1.4
7,2019/02/12,PM10,30
7,2019/02/12,NO2,64
7,2019/02/12,O3,56
8,2019/02/12,NO2,
8,2019/02/12,CO_8h,
8,2019/02/12,C6H6,
1,2019/02/13,NO2,
3,2019/02/13,NO2,89
3,2019/02/13,CO_8h,
4,2019/02/13,PM10,19
4,2019/02/13,NO2,109
4,2019/02/13,CO_8h,1.3
4,2019/02/13,C6H6,1.9
5,2019/02/13,NO2,
5,2019/02/13,O3,
2,2019/02/13,SO2,2.5
2,2019/02/13,PM10,20
2,2019/02/13,PM25,14
2,2019/02/13,NO2,83
2,2019/02/13,O3,67
2,2019/02/13,C6H6,1.4
6,2019/02/13,PM10,20
6,2019/02/13,PM25,12
6,2019/02/13,NO2,80
6,2019/02/13,CO_8h,1.3
6,2019/02/13,C6H6,1.4
7,2019/02/13,PM10,18
7,2019/02/13,NO2,92
7,2019/02/13,O3,54
8,2019/02/13,NO2,
8,2019/02/13,CO_8h,
8,2019/02/13,C6H6,
1,2019/02/14,NO2,
3,2019/02/14,NO2,135
3,2019/02/14,CO_8h,
4,2019/02/14,PM10,48
4,2019/02/14,NO2,154
4,2019/02/14,CO_8h,1.6
4,2019/02/14,C6H6,3.5
5,2019/02/14,NO2,
5,2019/02/14,O3,
2,2019/02/14,SO2,7
2,2019/02/14,PM10,31
2,2019/02/14,PM25,21
2,2019/02/14,NO2,87
2,2019/02/14,O3,66
2,2019/02/14,C6H6,2.2
6,2019/02/14,PM10,35
6,2019/02/14,PM25,14
6,2019/02/14,NO2,76
